Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-11-17 08:13:00,71.2810,22.9612
2018-11-17 08:28:00,71.2424,23.0527
2018-11-17 08:43:00,71.5127,22.9307
2018-11-17 08:58:00,71.5127,22.9612
2018-11-17 09:13:00,71.6478,23.1748
2018-11-17 09:28:00,71.9181,22.9001
2018-11-17 09:43:00,71.8216,22.8696
2018-11-17 09:58:00,71.5127,22.9307
2018-11-17 10:13:00,71.3969,23.4800
2018-11-17 10:28:00,71.2231,23.6631
2018-11-17 10:43:00,71.9374,23.2664
2018-11-17 10:58:00,71.3583,23.4800
2018-11-17 11:13:00,71.3583,23.3884
2018-11-17 11:28:00,71.8023,23.3579
2018-11-17 11:43:00,71.2617,23.6326
2018-11-17 11:58:00,71.3583,23.3884
2018-11-17 12:13:00,71.5899,22.9612
2018-11-17 12:28:00,71.1845,23.2969
2018-11-17 12:43:00,71.3583,22.9612
2018-11-17 12:58:00,71.8023,22.3813
2018-11-17 13:13:00,71.8216,22.2593
2018-11-17 13:28:00,71.8988,22.0762
2018-11-17 13:43:00,71.8795,21.9541
2018-11-17 13:58:00,71.9181,21.8931
2018-11-17 14:13:00,71.8602,21.9236
2018-11-17 14:28:00,71.8216,21.8320
2018-11-17 14:43:00,71.8988,21.4963
2018-11-17 14:58:00,71.9953,21.2217
2018-11-17 15:13:00,71.9181,21.0996
2018-11-17 15:28:00,71.8602,20.9775
2018-11-17 15:43:00,71.9760,20.7944
2018-11-17 15:58:00,71.8023,20.7944
2018-11-17 16:13:00,71.7444,20.8555
2018-11-17 16:28:00,71.7251,20.7944
2018-11-17 16:43:00,71.7058,20.9165
2018-11-17 16:58:00,71.6478,20.8555
2018-11-17 17:13:00,71.7444,20.6113
2018-11-17 17:28:00,71.6671,20.6418
2018-11-17 17:43:00,71.6285,20.3977
2018-11-17 17:58:00,71.7058,20.2146
2018-11-17 18:13:00,71.7251,20.1841
2018-11-17 18:28:00,71.7830,19.9094
2018-11-17 18:43:00,71.6478,19.9094
2018-11-17 18:58:00,71.6671,20.0315
2018-11-17 19:13:00,71.4741,20.3977
2018-11-17 19:28:00,72.0919,20.2146
2018-11-17 19:43:00,71.8023,20.3672
2018-11-17 19:58:00,71.8988,20.4587
2018-11-17 20:13:00,71.7058,20.5198
2018-11-17 20:28:00,71.5127,20.7944
2018-11-17 20:43:00,71.3583,20.8250
2018-11-17 20:58:00,71.5320,20.6418
2018-11-17 21:13:00,71.4934,20.5808
2018-11-17 21:28:00,71.8023,20.7334
2018-11-17 21:43:00,71.8988,20.3977
2018-11-17 21:58:00,71.7444,19.9094
2018-11-17 22:13:00,71.5899,19.1465
2018-11-17 22:28:00,71.4934,18.6887
2018-11-17 22:43:00,71.5513,18.3225
2018-11-17 22:58:00,71.7830,18.2920
2018-11-17 23:13:00,71.8602,17.8953
2018-11-17 23:28:00,71.6478,17.8342
2018-11-17 23:43:00,71.5899,17.7732
2018-11-17 23:58:00,71.3583,17.7427
2018-11-18 00:13:00,71.5127,17.6511
2018-11-18 00:28:00,71.6671,17.6511
2018-11-18 00:43:00,71.7444,17.6511
2018-11-18 00:58:00,71.5513,17.6206
2018-11-18 01:13:00,71.8409,17.6206
2018-11-18 01:28:00,71.6864,17.8953
2018-11-18 01:43:00,71.4548,17.9868
2018-11-18 01:58:00,71.3196,18.1089
2018-11-18 02:13:00,71.1845,18.2920
2018-11-18 02:28:00,71.2231,18.2920
2018-11-18 02:43:00,71.5320,18.3835
2018-11-18 02:58:00,71.8409,18.2310
2018-11-18 03:13:00,71.7058,18.4751
2018-11-18 03:28:00,71.3196,18.7803
2018-11-18 03:43:00,71.6671,18.6277
2018-11-18 03:58:00,71.6092,18.8413
2018-11-18 04:13:00,71.4162,19.0549
2018-11-18 04:28:00,71.3583,19.2380
2018-11-18 04:43:00,71.3583,19.3296
2018-11-18 04:58:00,71.4548,19.2991
2018-11-18 05:13:00,71.3583,19.3601
2018-11-18 05:28:00,71.4934,19.3296
2018-11-18 05:43:00,71.3196,19.4517
2018-11-18 05:58:00,71.2810,19.5432
2018-11-18 06:13:00,71.3390,19.6348
2018-11-18 06:28:00,71.2810,19.6958
2018-11-18 06:43:00,71.6092,19.6348
2018-11-18 06:58:00,71.7058,19.1465
2018-11-18 07:13:00,71.3776,19.3296
2018-11-18 07:28:00,71.5127,19.3296
2018-11-18 07:43:00,71.4548,19.6348
2018-11-18 07:58:00,71.5127,19.8484
2018-11-18 08:13:00,71.3583,19.8789
2018-11-18 08:28:00,71.6092,19.6348
2018-11-18 08:43:00,71.4355,19.3296
2018-11-18 08:58:00,71.5899,18.9939
2018-11-18 09:13:00,71.6092,18.9023
2018-11-18 09:28:00,71.5127,18.3835
2018-11-18 09:43:00,71.9567,18.0479
2018-11-18 09:58:00,71.9181,17.8953
2018-11-18 10:13:00,71.5899,18.0173
2018-11-18 10:28:00,71.5899,17.8953
2018-11-18 10:43:00,71.3583,18.0173
2018-11-18 10:58:00,71.6285,17.8342
2018-11-18 11:13:00,71.5899,17.8342
2018-11-18 11:28:00,71.5513,17.8342
2018-11-18 11:43:00,71.5320,17.8342
2018-11-18 11:58:00,71.3969,17.9868
2018-11-18 12:13:00,71.2231,18.1089
2018-11-18 12:28:00,71.4548,18.1089
2018-11-18 12:43:00,71.5127,18.1394
2018-11-18 12:58:00,71.7058,18.1699
2018-11-18 13:13:00,71.5899,18.1699
2018-11-18 13:28:00,71.3583,18.3530
2018-11-18 13:43:00,71.7637,18.2920
2018-11-18 13:58:00,71.7830,18.3225
2018-11-18 14:13:00,71.6285,18.4446
2018-11-18 14:28:00,71.7251,18.1089
2018-11-18 14:43:00,71.8216,17.6511
2018-11-18 14:58:00,71.5127,17.5901
2018-11-18 15:13:00,71.8988,17.4680
2018-11-18 15:28:00,72.0532,17.3154
2018-11-18 15:43:00,72.0146,17.1323
2018-11-18 15:58:00,71.7251,17.0713
2018-11-18 16:13:00,71.5899,17.2849
2018-11-18 16:28:00,71.6478,17.4375
2018-11-18 16:43:00,71.5127,17.6511
2018-11-18 16:58:00,72.0339,17.6511
2018-11-18 17:13:00,71.7058,18.0479
2018-11-18 17:28:00,71.5320,18.2920
2018-11-18 17:43:00,71.5513,18.3835
2018-11-18 17:58:00,71.6285,18.4751
2018-11-18 18:13:00,71.4934,19.0549
2018-11-18 18:28:00,71.6478,18.7803
2018-11-18 18:43:00,71.6092,18.7498
2018-11-18 18:58:00,71.4548,18.8718
2018-11-18 19:13:00,71.3969,19.0854
2018-11-18 19:28:00,71.4741,19.2075
2018-11-18 19:43:00,71.8602,19.0854
